Título do Filme,Ano,Diretor,Sinopse,Avaliação,Prêmios
O Poderoso Chefão,1972,Francis Ford Coppola,"A saga da família Corleone, liderada pelo patriarca Vito Corleone, e seu filho Michael, que assume o controle do império do crime da família após uma série de eventos violentos.",9.2,"Vencedor de três Oscars, incluindo Melhor Filme."
O Poderoso Chefão II,1974,Francis Ford Coppola,"Explora tanto a ascensão de Vito Corleone quanto o reinado de seu filho Michael, entrelaçando suas histórias em uma narrativa épica.",9.0,"Vencedor de seis Oscars, incluindo Melhor Filme."
O Poderoso Chefão III,1990,Francis Ford Coppola,A tentativa de Michael Corleone de legitimar os negócios da família enquanto enfrenta desafios de poder e luta para manter sua integridade moral.,7.6,Recebeu sete indicações ao Oscar.
Os Bons Companheiros,1990,Martin Scorsese,"A ascensão e queda de um grupo de gângsteres em Nova York, explorando lealdade, amizade e traição.",8.7,Indicado ao Oscar de Melhor Diretor.
Os Intocáveis,1987,Brian De Palma,A história real do agente do Tesouro Eliot Ness e sua equipe tentando derrubar o império do crime de Al Capone durante a Lei Seca.,7.9,Venceu o Oscar de Melhor Ator Coadjuvante (Sean Connery).
Cassino,1995,Martin Scorsese,A ascensão e queda de um gerente de cassino e seu relacionamento com uma mulher problemática enquanto operam em Las Vegas.,8.2,Indicações ao Oscar.
Pulp Fiction: Tempo de Violência,1994,Quentin Tarantino,"Várias histórias interligadas explorando temas de violência, redenção e moralidade.",8.9,Venceu o Oscar de Melhor Roteiro Original.
Os Infiltrados,2006,Martin Scorsese,Um policial disfarçado e um criminoso infiltrado tentam descobrir a identidade um do outro.,8.5,"Venceu quatro Oscars, incluindo Melhor Filme e Melhor Diretor."
O Irlandês,2019,Martin Scorsese,"A vida de Frank Sheeran, um assassino da máfia, e seu envolvimento com a família criminosa Bufalino e o líder sindical Jimmy Hoffa.",7.8,Recebeu várias indicações ao Oscar.
Bonnie & Clyde - Uma Rajada de Balas,1967,Arthur Penn,A história real dos famosos criminosos Bonnie Parker e Clyde Barrow durante a Grande Depressão.,7.8,"Venceu dois Oscars, incluindo Melhor Atriz (Faye Dunaway)."
Cães de Aluguel,1992,Quentin Tarantino,"Um grupo de criminosos se reúne para realizar um grande assalto, mas as coisas dão errado quando a polícia aparece.",8.3,Recebeu vários prêmios de cinema independentes.
O Gângster,2007,Ridley Scott,"A história real de Frank Lucas, um traficante de drogas em Nova York durante os anos 1970, e o detetive Richie Roberts que tenta derrubá-lo.",7.8,Indicações ao Oscar.
Gomorra,2008,Matteo Garrone,"A vida no submundo da máfia italiana, mostrando a brutalidade e a corrupção que permeiam a sociedade.",7.0,Vencedor do Grande Prêmio do Júri no Festival de Cannes.
O Franco-Atirador,1978,Michael Cimino,Um grupo de amigos do interior dos Estados Unidos se envolve em atividades criminosas após retornar da Guerra do Vietnã.,8.1,"Vencedor de cinco Oscars, incluindo Melhor Filme."
Os Imperdoáveis,1992,Clint Eastwood,Um ex-pistoleiro é persuadido a realizar um último trabalho que o leva a confrontar seus próprios demônios.,8.2,"Vencedor de quatro Oscars, incluindo Melhor Filme."
